"idBank";"Dernière mise à jour";"Correction";"Indicateur";"Activité";"Zone géographique";"Unité";"Nature";"Périodicité";"Puissance"
"001796629";"18/12/2025 08:45";"Non corrigé";"Indicateur synthétique du climat de l'emploi";"Ensemble des secteurs";"France métropolitaine";"sans objet";"Indice";"Mensuelle";"0"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
